[FIXES]
AAMMM N036.10.25.899 W114.51.55.789
ACEPA N036.53.31.581 W113.35.36.718
ACLAM N036.04.30.331 W114.31.21.309
ACOSI N037.07.07.348 W111.32.04.588
ACSIN N035.52.40.231 W114.33.53.229
ADDEL N036.19.36.030 W116.04.12.658
ADDUG N035.54.52.441 W114.46.48.428
AGNUT N035.58.33.229 W115.01.43.431
AHGAW N035.22.53.579 W113.51.54.608
AHOWW N037.07.14.559 W113.11.34.040
AJPOG N036.16.07.769 W115.24.41.950
ALRAY N035.19.00.980 W113.54.07.109
ALUND N036.04.33.740 W115.07.30.489
AMERE N035.54.17.611 W112.22.57.748
AMUWY N036.20.38.849 W115.22.56.859
ANDYY N036.04.24.308 W115.17.42.248
ANOCI N036.20.04.718 W115.16.19.171
APATE N035.16.46.498 W114.10.59.228
APEJY N036.41.51.640 W114.10.09.969
APEMY N035.11.21.181 W112.59.48.051
APOCY N036.08.51.129 W115.01.15.949
ARCOE N036.44.15.658 W114.55.01.441
AREAF N035.36.31.770 W113.13.50.458
ARENT N036.46.25.690 W113.37.49.958
AROGE N036.46.00.278 W111.24.39.711
ARVDD N036.07.42.110 W114.42.13.319
ASIPY N035.58.10.178 W115.13.38.431
ATALF N036.23.30.958 W114.52.19.671
AVERS N037.04.45.080 W114.01.55.520
AWIZO N035.56.02.450 W111.47.01.899
AWNIN N038.06.04.949 W117.06.15.130
AYAVA N036.52.08.580 W111.26.08.548
AYUBE N037.57.16.981 W117.03.16.261
BAKRR N036.04.32.998 W114.57.11.001
BALBE N036.24.15.109 W114.50.57.350
BAMAA N036.08.02.281 W114.43.53.450
BATIS N036.10.17.490 W115.15.49.489
BAVPE N035.35.22.210 W111.52.49.598
BAWER N037.38.06.680 W112.16.45.890
BAWLD N035.47.32.391 W114.47.13.549
BEALE N036.10.56.830 W114.49.34.089
BEERZ N036.20.43.558 W113.46.38.560
BESSY N036.06.27.669 W115.17.22.559
BETHL N036.53.03.901 W112.26.25.551
BEWIH N036.17.11.198 W115.15.18.878
BEYMI N035.16.38.978 W113.31.11.290
BFUNE N036.06.10.731 W114.28.40.090
BGZEE N037.06.06.001 W116.00.02.991
BIGNE N036.56.58.581 W111.27.11.570
BIKKR N036.34.00.001 W116.45.00.000
BISOP N035.34.56.071 W112.25.26.119
BLIPP N036.42.41.310 W114.28.26.450
BLNDE N035.52.30.000 W114.58.59.998
BLOBB N037.17.45.628 W113.06.52.160
BOACH N035.40.41.620 W115.17.40.880
BOZOO N036.07.53.421 W115.08.04.898
BRENS N036.10.10.988 W115.06.45.968
BRITN N035.24.28.580 W111.57.43.560
BUDHE N035.44.32.240 W111.38.35.840
BUKEY N035.55.28.999 W115.08.39.998
CABER N037.23.31.599 W111.39.44.910
CADDU N034.58.42.711 W112.58.31.249
CADRI N036.47.19.269 W111.25.05.811
CAJLA N035.31.09.609 W112.19.09.559
CAKNU N035.47.42.000 W115.19.35.759
CAPTA N035.46.57.230 W114.58.34.539
CARMS N035.48.19.090 W112.18.06.811
CAVER N035.54.31.820 W115.09.54.079
CEASR N035.51.59.039 W115.15.42.890
CEDRU N036.13.10.059 W115.03.07.599
CEJAY N035.40.45.030 W113.55.38.139
CELAY N036.34.18.951 W111.22.04.958
CENIT N036.41.02.000 W116.26.30.998
CETNU N035.15.52.779 W113.55.54.199
CEVIS N036.08.22.088 W115.06.02.548
CEXAT N037.31.24.909 W112.40.05.120
CFBRW N036.02.39.598 W115.34.31.800
CFKPW N036.27.34.970 W114.47.19.100
CHETR N036.07.49.990 W115.08.19.489
CHICS N035.49.36.458 W115.22.16.269
CHIPZ N035.58.50.001 W114.36.29.998
CIBMU N038.05.24.061 W116.48.20.779
CINDA N035.52.41.368 W115.13.34.320
CIRQS N036.28.39.669 W113.16.24.031
CIVAT N035.22.52.240 W113.38.42.248
CIXAP N037.19.23.098 W112.16.11.521
CIXOG N035.58.13.900 W115.04.22.810
CIXOS N037.31.31.479 W112.23.13.138
COCAB N035.57.53.420 W115.07.10.941
CODMI N037.01.15.459 W115.49.54.908
CODNO N035.54.01.940 W115.16.12.381
CODOV N036.04.24.898 W115.12.17.920
COJGE N036.12.52.840 W115.12.09.601
COMPS N036.00.40.658 W114.29.58.588
CONDY N036.04.35.101 W115.00.58.748
COPAR N038.00.40.478 W116.52.31.389
CORKR N036.05.02.259 W112.24.01.288
COTES N035.27.25.718 W114.02.46.219
COWBY N035.55.24.841 W113.54.09.939
CRESO N035.46.26.529 W115.09.54.759
CROWE N036.04.27.220 W114.19.57.820
CUDIL N036.58.24.038 W112.55.55.610
CUNDY N036.03.36.338 W112.59.32.679
CUTAD N035.29.24.208 W114.42.07.019
CUTAP N036.46.23.948 W113.44.03.361
CUTRO N035.36.16.981 W112.22.59.998
CYKLE N037.10.59.991 W116.02.35.001
DARDN N036.32.33.809 W114.27.23.929
DAWNI N035.50.28.028 W115.09.18.698
DEALR N036.01.08.349 W115.11.56.659
DEANN N037.12.33.998 W111.42.47.001
DECAY N036.04.35.079 W114.59.51.860
DEDKE N036.48.52.459 W112.37.28.829
DEMDY N035.17.21.598 W113.54.41.799
DIBEY N036.43.15.891 W111.24.13.139
DICSA N035.52.05.329 W115.02.15.100
DODDL N035.49.28.801 W114.51.51.289
DOMMS N035.32.18.470 W113.50.11.281
DOVEE N035.26.51.068 W114.48.00.939
DOZIT N036.22.24.538 W112.10.58.940
DRAKO N037.40.45.771 W116.43.03.579
DROID N036.11.02.511 W114.29.06.698
DRRLA N036.56.54.729 W115.38.38.731
DUBLX N036.10.14.001 W114.38.15.000
DUDBE N036.21.50.911 W115.20.34.879
DUGGN N035.44.06.831 W113.23.24.518
DUNES N036.00.29.300 W115.12.45.590
DUZIT N036.24.51.199 W113.24.51.530
DYSSS N036.37.00.001 W116.29.53.998
EASTR N036.08.24.320 W115.05.21.991
EDWRD N035.30.47.660 W113.47.23.679
EEEZY N036.44.33.180 W112.21.40.769
EEVUN N037.02.52.900 W113.42.42.559
EHGUY N035.48.42.008 W112.04.18.649
EKAME N036.38.14.020 W111.23.07.940
ENGLA N036.08.37.809 W115.07.59.109
ENITE N037.17.54.909 W116.07.18.469
ENIYO N036.15.03.279 W115.00.57.711
ESOTY N035.16.13.958 W113.55.29.470
ESSAA N037.04.05.070 W116.55.59.159
ESSDE N036.44.55.471 W114.07.34.078
ETYIR N037.32.54.589 W112.36.48.830
EXAKY N037.37.59.228 W112.14.37.359
EXITT N036.55.12.590 W116.08.33.460
EYENE N036.04.24.779 W115.13.22.461
FABUT N037.04.21.550 W112.30.06.688
FALAK N037.45.15.998 W116.45.26.110
FANLO N036.18.36.000 W115.28.31.000
FAPOV N036.53.59.780 W111.26.32.708
FEBET N035.52.53.961 W115.16.38.611
FEGUG N037.11.07.979 W115.46.01.999
FESDI N036.18.13.399 W114.57.31.240
